Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
66276,0,0,0,0,0,0,0,0,0,0,2,Cooking Cast Iron Skillets Timeless Delicious Family Recipes 
8464,142551,1282,2018226,698336,289897,36298,0,0,0,0,8,KETO ICE CREAMS COOKBOOK EASY AND DELICIOUS ICE 
3786864,0,0,0,0,0,0,0,0,0,0,2,Nothing Fancy Unfussy Food Having People Over 
340853,24887,9801,14049,21909,3255,149823,8193,735,16328,7896,207,Slow Cooker Cookbook Easy Recipes Simple Follow Food 
100586,9308,1094483,29285,38101,120107,173915,177481,13706,9168,29041,32,Foodie Grill Cookbook Beginners Recipe Foodie Grill Cookbook 
14351,1609008,2209615,521217,788068,1282206,397114,668161,0,0,0,9,Hello Main Dish Casserole Recipes Best Main Dish 
915090,1048250,2099634,1127631,0,0,0,0,0,0,0,5,Cooking Joule Sous Vide Immersion Circulator Delicious Recipes 
1282,544755,49170,31116,335645,786975,222075,31516,469031,150725,68863,90,Keto Instant Pot Cookbook Beginners Burn Low Carb 
1150956,1272078,17901,389275,205367,315984,89956,7243,83251,31116,672115,119,Mediterranean Diet Cookbook Two Easy Healthy Delicious Recipes 
144616,0,0,0,0,0,0,0,0,0,0,2,Copycat Recipes A COMPLETE StepbyStep Cookbook Guide make 
1040273,837769,128761,698724,106215,191084,0,0,0,0,0,7,Aroma Rice Cooker Cookbook Easy Delicious Rice Cooker 
162202,497877,5907,64086,0,0,0,0,0,0,0,5,KETO DRINK COOKBOOK FOR BEGINNERS SMOOTHIES COCKTAILS JUICES 
698336,735,283881,454314,190538,289897,157666,95319,103624,777890,190200,14,KETO ICE CREAMS EASY RECIPES FOR BEGINNERS 
15189,15189,25468,1787,322902,14675,144816,738445,1147839,13263,729385,406,Mediterranean Diet Cookbook Day Meal Plan Lose Weight 
16322,13229,12451,244277,186864,648847,7243,52632,1505662,247787,496340,441,Instant Pot Recipe Book Quick Easy Electric Pressure 
1012249,0,0,0,0,0,0,0,0,0,0,2,comidas peruanas platos criollos Spanish Edition 
1102012,265966,294,1065577,612,964295,1320525,917101,0,0,0,9,Hello Rum Drink Recipes Best Rum Drink Cookbook 
1044991,0,0,0,0,0,0,0,0,0,0,2,The Sandwich Cookbook Kids The Fun Easy Way 
65875,915793,16322,187344,838835,182481,385319,238043,8055,670364,7243,59,Instant Pot Cookbook Foolproof Recipes Electric Pressure Cooker 
641524,77935,565363,527822,2190,735,3255,1871816,10925,614501,796986,29,Ketogenic Diet Cookbook Top Keto Recipes Health Rapid 
39357,693056,1115834,12577,1011066,737874,1240858,55980,2474326,695854,716771,58,Hello Bean Salad Recipes Best Bean Salad Cookbook 
126653,76113,335091,735,3255,161170,2151,13223,740261,14049,374718,621,Ketogenic Instant Pot Cookbook Low Carb Weight Loss 
322979,0,0,0,0,0,0,0,0,0,0,2,The Ultimate Cookbook African Jollof rice African Recipes 
233209,41171,576684,68318,12451,175676,33700,97954,0,0,0,9,A Dinner Day Complete Meals Minutes Every Weeknight 
55233,1203519,97097,631879,0,0,0,0,0,0,0,5,Hello Christmas Side Dish Recipes Best Christmas Side 
12212,0,0,0,0,0,0,0,0,0,0,2,Easy Picnic Cookbook Delicious Easy Picnic Recipes All 
581145,0,0,0,0,0,0,0,0,0,0,2,Inversion Therapy Neck Back Pain How Use Inversion 
497877,379352,1282,13827,36298,1416,547273,15270,281083,309770,167999,88,KETO DRINKS COOKBOOK EASY AND DELICIOUS DRINKS FOR 
22563,0,0,0,0,0,0,0,0,0,0,2,My French Country Home Entertaining Through Seasons 
368747,0,0,0,0,0,0,0,0,0,0,2,Hello Lemonade Recipes Best Lemonade Cookbook Ever For 
709052,1200227,1468776,1611,29709,0,0,0,0,0,0,6,Sunday Suppers Recipes Gatherings A Cookbook 
900950,19060,631879,525736,2131050,870924,1590164,624607,1309862,2215571,27463,68,Hello Christmas Recipes Best Christmas Cookbook Ever For 
1155708,10000,847335,28030,30973,355079,122023,448004,465980,118650,1107480,158,Professional Catering 
44224,161222,0,0,0,0,0,0,0,0,0,3,French Country Cottage Inspired Gatherings 
1282,63390,129753,43820,49170,788206,16322,13223,14049,308320,750664,30,The Keto Instant Pot Cookbook A Practical Approach 
159429,609936,644919,12506,323235,17261,396010,121554,29800,1018105,1890217,76,Vegan Instant Pot Cookbook Easy PlantBased Recipes Pressure 
195124,0,0,0,0,0,0,0,0,0,0,2,Hello Cinco de Mayo Recipes Best Cinco de 
